날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2000.1.1,112,6.1,0.4,11.5
2000.1.2,112,5,0,8.4
2000.1.3,112,-1.8,-3.3,0.9
2000.1.4,112,0.1,-4,4.2
2000.1.5,112,3.6,1,6.1
2000.1.6,112,2,-3.6,5.9
2000.1.7,112,-7.6,-11.1,-3.6
2000.1.8,112,-2.7,-6,0.5
2000.1.9,112,-0.6,-4.1,2.5
2000.1.10,112,-0.6,-4.7,1.9
2000.1.11,112,0.4,-6.4,4.9
2000.1.12,112,3.7,2.2,4.9
2000.1.13,112,1.2,-1,2.7
2000.1.14,112,-0.7,-1.6,1
2000.1.15,112,-0.9,-3.6,2.5
2000.1.16,112,-0.3,-2.8,4
2000.1.17,112,-1.3,-4.6,3
2000.1.18,112,-1.3,-5.1,2.2
2000.1.19,112,-4.4,-6.4,0.2
2000.1.20,112,-7.5,-9.3,-4.9
2000.1.21,112,-6.4,-10.5,-2.9
2000.1.22,112,-1.4,-4.9,2.3
2000.1.23,112,1.9,-0.4,7
2000.1.24,112,-2.6,-6.4,0.3
2000.1.25,112,-6.9,-10.2,-2.7
2000.1.26,112,-7.3,-9.7,-4.1
2000.1.27,112,-5.4,-10,-0.4
2000.1.28,112,-2,-7.2,3.2
2000.1.29,112,0.5,-2,3.5
2000.1.30,112,-3.9,-7,2
2000.1.31,112,-7.2,-9.4,-4.3
2000.2.1,112,-5.8,-10.1,-2.1
2000.2.2,112,-3,-6.8,1.4
2000.2.3,112,-1,-3.3,3.5
2000.2.4,112,-1.9,-5.9,2.4
2000.2.5,112,-1,-5.4,3
2000.2.6,112,0.2,-1,3.2
2000.2.7,112,-1.3,-4.5,2.6
2000.2.8,112,-5.8,-7.8,-3.6
2000.2.9,112,-4.1,-8.2,-0.5
2000.2.10,112,-1.2,-6.1,3.6
2000.2.11,112,1.8,-0.7,5.5
2000.2.12,112,2.3,-0.3,6.7
2000.2.13,112,1.4,-0.9,5.2
2000.2.14,112,-0.4,-2.9,2
2000.2.15,112,-4.5,-6.5,-2.1
2000.2.16,112,-3.6,-6,-0.2
2000.2.17,112,-2.8,-6,0.8
2000.2.18,112,-1.5,-5.4,2.5
2000.2.19,112,0.9,-3.6,6.9
2000.2.20,112,-0.4,-3.1,3.7
2000.2.21,112,-0.7,-3.6,3.4
2000.2.22,112,-0.6,-4.2,3.9
2000.2.23,112,1,-2.1,5.4
2000.2.24,112,-2.3,-4.7,1.3
2000.2.25,112,-1.6,-5.1,3.1
2000.2.26,112,0.9,-1.6,4.1
2000.2.27,112,2.9,-1,7.1
2000.2.28,112,-2.2,-4.9,1.4
2000.2.29,112,-0.7,-4.7,3.4
2000.3.1,112,2.6,-1.4,7.5
2000.3.2,112,4.9,2,9.3
2000.3.3,112,7.6,1,16.8
2000.3.4,112,6.7,3.8,12.2
2000.3.5,112,4.2,1.6,9.9
2000.3.6,112,2.6,-1,7.1
2000.3.7,112,-1.1,-3.4,1.5
2000.3.8,112,0.3,-3.3,3.7
2000.3.9,112,1.9,-2.4,6.3
2000.3.10,112,3.9,-1.2,9.2
2000.3.11,112,4.9,2.5,7.4
2000.3.12,112,3.3,2.1,7.8
2000.3.13,112,4.5,-0.1,9.9
2000.3.14,112,5.4,2.1,10.2
2000.3.15,112,7.8,2,15.7
2000.3.16,112,5.7,3.2,9.4
2000.3.17,112,6.7,2.4,13.1
2000.3.18,112,9.5,7.4,13.8
2000.3.19,112,5.9,3.4,10.2
2000.3.20,112,6.5,2.4,13.2
2000.3.21,112,6.6,3.6,11.7
2000.3.22,112,10.6,3.5,18
2000.3.23,112,6.8,5.6,9.1
2000.3.24,112,5.2,3.4,7.3
2000.3.25,112,6.3,2.9,10.4
2000.3.26,112,7.8,3.4,13.6
2000.3.27,112,12.9,6.5,18.5
2000.3.28,112,9.6,5.7,12.8
2000.3.29,112,7.6,4.7,11
2000.3.30,112,8.2,4.6,12.3
2000.3.31,112,10.1,7,15.7
2000.4.1,112,10,4.5,16
2000.4.2,112,11.6,7.4,17.7
2000.4.3,112,12.4,7.8,18.1
2000.4.4,112,13.2,7.9,20.5
2000.4.5,112,9.4,6.6,13.2
2000.4.6,112,8,5,13.3
2000.4.7,112,8.5,5.7,11.9
2000.4.8,112,8.7,4.1,14.5
2000.4.9,112,11.6,6.3,17.6
2000.4.10,112,5.9,3.3,9.8
2000.4.11,112,8.7,3.7,13.3
2000.4.12,112,10.7,7.4,15
2000.4.13,112,12.2,9.4,16.8
2000.4.14,112,12.2,8.2,16.4
2000.4.15,112,12.6,9,18.2
2000.4.16,112,10.9,7.8,14.7
2000.4.17,112,12.3,8.7,17
2000.4.18,112,14.2,11,17.1
2000.4.19,112,15.3,11.3,20.6
2000.4.20,112,14.5,9.5,22.5
2000.4.21,112,11.4,9.2,14.3
2000.4.22,112,9.5,7,12.2
2000.4.23,112,10.6,8.2,13.9
2000.4.24,112,12.1,8,15.9
2000.4.25,112,15.5,11.9,21.4
2000.4.26,112,10.6,8.7,13.7
2000.4.27,112,11,8.9,15.5
2000.4.28,112,12.3,8.4,17.4
2000.4.29,112,15.3,10.1,21.5
2000.4.30,112,13.3,10.6,16.6
2000.5.1,112,13.8,10.3,17.6
2000.5.2,112,13.5,8.8,18.6
2000.5.3,112,14.4,9.9,20.2
2000.5.4,112,17.1,12,23.5
2000.5.5,112,16.5,12.5,22.6
2000.5.6,112,14.8,11.9,19.5
2000.5.7,112,13.6,10.4,18.6
2000.5.8,112,14.7,11.1,19.3
2000.5.9,112,18.2,13,25
2000.5.10,112,14.3,10.8,19.3
2000.5.11,112,12.1,10.7,15.4
2000.5.12,112,14.2,10.8,19.1
2000.5.13,112,17.7,11.7,23.4
2000.5.14,112,16.9,13.7,22.6
2000.5.15,112,15.2,13.2,19.7
2000.5.16,112,16.2,13.2,21.1
2000.5.17,112,14.6,11.6,20.3
2000.5.18,112,14.1,10.2,19.4
2000.5.19,112,15.9,13.3,19.5
2000.5.20,112,14.4,11.7,19.3
2000.5.21,112,16.1,11.3,21.3
2000.5.22,112,18.4,15.1,23.3
2000.5.23,112,17.5,14.6,22.6
2000.5.24,112,19.8,16.6,24
2000.5.25,112,22.2,17.6,28.6
2000.5.26,112,20.9,18.2,24.2
2000.5.27,112,18,15.1,19.5
2000.5.28,112,18.5,14.6,21.4
2000.5.29,112,19.2,14.5,24.1
2000.5.30,112,17.9,16.1,21.2
2000.5.31,112,19.5,16.1,24.9
2000.6.1,112,18.1,14.1,23.9
2000.6.2,112,19.5,15.5,25
2000.6.3,112,22.8,16.5,31.7
2000.6.4,112,25.3,20.7,31
2000.6.5,112,22.6,17.3,30.3
2000.6.6,112,19.5,16.5,24.8
2000.6.7,112,21.2,18.2,25
2000.6.8,112,20.2,17.7,23.8
2000.6.9,112,19.6,14.2,26.2
2000.6.10,112,21,16.9,26.1
2000.6.11,112,21.5,17.1,26
2000.6.12,112,21.4,17.5,27.3
2000.6.13,112,21.3,16.9,27.5
2000.6.14,112,22.7,19.4,27.2
2000.6.15,112,23.2,18.9,30.4
2000.6.16,112,22.5,19.3,27.1
2000.6.17,112,23,20.3,28.8
2000.6.18,112,23.3,20.3,28.6
2000.6.19,112,22.6,18.3,28.4
2000.6.20,112,23.4,19,29.8
2000.6.21,112,23.2,19.4,28.4
2000.6.22,112,23,18.8,27.8
2000.6.23,112,21.9,20.7,23.5
2000.6.24,112,23.8,21,28.9
2000.6.25,112,24.3,21.6,28.8
2000.6.26,112,23.6,21.7,27.4
2000.6.27,112,24.7,20.6,30.2
2000.6.28,112,24.7,19.9,30.4
2000.6.29,112,22.9,20.5,25.3
2000.6.30,112,22.3,20.5,25.8
2000.7.1,112,24.7,20.8,29.5
2000.7.2,112,26,23.1,31.7
2000.7.3,112,26.5,23.2,32.4
2000.7.4,112,27.1,22.3,32.7
2000.7.5,112,26.4,23.2,31.8
2000.7.6,112,25.7,21.9,31.9
2000.7.7,112,27.7,22.8,33.4
2000.7.8,112,26.3,23.1,30.9
2000.7.9,112,25.4,22.4,30.3
2000.7.10,112,28.2,23,35.2
2000.7.11,112,23.2,20.8,27.4
2000.7.12,112,24.2,21.4,27.3
2000.7.13,112,24.5,22.9,30
2000.7.14,112,27.1,23.2,31.4
2000.7.15,112,25.8,23.9,29.5
2000.7.16,112,24.5,22.9,27.5
2000.7.17,112,26.5,24.5,29.7
2000.7.18,112,28.1,24.9,32.4
2000.7.19,112,27,25.6,30.5
2000.7.20,112,27.6,25.8,32.2
2000.7.21,112,26.3,25.3,30
2000.7.22,112,24.5,23.7,25.9
2000.7.23,112,25.7,22.9,29.8
2000.7.24,112,25.9,22.1,29.9
2000.7.25,112,24.6,21.6,28.7
2000.7.26,112,26.2,22.1,30.6
2000.7.27,112,27.3,23.9,31.7
2000.7.28,112,28.1,25.8,32
2000.7.29,112,27.7,26.1,30.4
2000.7.30,112,24.3,20.6,27.9
2000.7.31,112,25.1,21,30
2000.8.1,112,25.3,22.1,29.8
2000.8.2,112,27.8,23,33.4
2000.8.3,112,28.9,24.1,33.7
2000.8.4,112,25.9,23.8,31.1
2000.8.5,112,26.4,24.4,30
2000.8.6,112,25.5,24,27
2000.8.7,112,26.4,24,30.7
2000.8.8,112,27.5,24.4,31.9
2000.8.9,112,27.8,24.9,31.5
2000.8.10,112,28.1,25.2,32.7
2000.8.11,112,28.1,25.2,31.9
2000.8.12,112,28,24.7,33.2
2000.8.13,112,28.6,24.7,33
2000.8.14,112,27.5,24.9,31.3
2000.8.15,112,28.1,25.7,32.1
2000.8.16,112,28.8,25.3,33.2
2000.8.17,112,29.4,24.7,34.6
2000.8.18,112,28.2,24.8,35.2
2000.8.19,112,24.9,23,27
2000.8.20,112,22.5,21.2,24.9
2000.8.21,112,23.9,20.6,27.1
2000.8.22,112,25.4,23.2,28.4
2000.8.23,112,25.7,21.4,30.1
2000.8.24,112,23.5,22.2,26.1
2000.8.25,112,23.2,21.4,27.4
2000.8.26,112,22.8,22.1,24
2000.8.27,112,24.9,23.9,27.2
2000.8.28,112,26.1,24,29.9
2000.8.29,112,27.6,24.1,33.4
2000.8.30,112,29.9,24.9,34.7
2000.8.31,112,25.9,24.5,28.3
2000.9.1,112,24.7,23.9,25.9
2000.9.2,112,25.5,23.9,29.6
2000.9.3,112,25.4,23.1,30.7
2000.9.4,112,26.1,21.9,31.1
2000.9.5,112,23.6,19.1,28.7
2000.9.6,112,23,20.2,26.8
2000.9.7,112,21.5,19.8,25.1
2000.9.8,112,22,18.9,25.9
2000.9.9,112,21.2,18.7,25.6
2000.9.10,112,22.4,16.8,28.6
2000.9.11,112,22.2,18.1,27.7
2000.9.12,112,20.4,16.4,24.1
2000.9.13,112,16.7,15.3,19.3
2000.9.14,112,17.2,15.5,18.4
2000.9.15,112,17.4,16,18.6
2000.9.16,112,17,15.7,18.6
2000.9.17,112,20.5,17,24.4
2000.9.18,112,20,16.3,24.9
2000.9.19,112,20.4,14.4,26.1
2000.9.20,112,21.9,17.4,27.7
2000.9.21,112,22.4,19.7,27.5
2000.9.22,112,21.7,18.2,25.9
2000.9.23,112,21,18.6,25.1
2000.9.24,112,20.8,18.6,24.6
2000.9.25,112,20.8,17.1,25.3
2000.9.26,112,20.5,14.6,26.2
2000.9.27,112,21.3,17.3,26.9
